,index,phoneTimestamp,pm1,pm2_5,pm10,temperature,humidity,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,total,gpsLongitude,gpsLatitude,gpsAltitude,gpsAccuracy,time,clustered_index,environment_index
60,307,1512478973070,1.5533787000000001,2.6883037,7.455689,10.1,69.1,128,37,37,29,11,19,8,2,0,1,0,1,0,0,0,0,273,-3.1979718999999998,55.942382099999996,123.0,8.0,13:02:53.070000,51,4
61,308,1512478993818,1.5458450000000001,2.7040287999999997,3.9723947,10.1,69.0,102,36,38,25,15,18,6,1,0,1,0,0,0,0,0,0,242,-3.198432,55.9423585,126.0,5.0,13:03:13.818000,75,1
62,309,1512479014579,1.3511251,2.295748,6.097937,10.1,68.8,106,33,23,22,9,13,3,3,2,1,1,0,0,0,0,0,216,-3.1989074,55.9423076,120.0,10.0,13:03:34.579000,14,4
64,310,1512479034612,1.5975337,2.6926975,4.2217474,10.1,68.9,125,36,33,29,8,16,8,0,1,1,0,0,0,0,0,0,257,-3.1993075,55.9422257,123.0,7.0,13:03:54.612000,14,4
65,951,1512738248394,2.3813546000000003,3.5808733,6.064657700000001,20.0,35.4,227,77,49,41,9,4,12,2,2,0,1,0,0,0,0,0,424,-3.1841857000000005,55.9451407,139.0,6.0,13:04:08.394000,9,2
66,311,1512479056752,1.5475948,2.4296381,4.321661,10.1,68.8,134,42,26,21,11,9,4,2,2,1,0,0,0,0,0,0,252,-3.1997106,55.942198499999996,124.0,6.0,13:04:16.752000,58,4
67,952,1512738269153,2.5516021,4.0893126,7.240766499999999,19.5,27.0,199,91,67,36,12,12,8,9,2,2,0,0,0,0,0,0,438,-3.184221,55.944876199999996,139.0,11.0,13:04:29.153000,9,2
68,312,1512479076211,1.7964067,3.0179498,4.4537754000000005,10.1,68.9,136,45,39,24,13,15,10,2,0,1,0,0,0,0,0,0,285,-3.2001647999999996,55.9421318,126.0,9.0,13:04:36.211000,22,4
69,953,1512738288615,3.1014173,4.1804037,5.927467,18.800001,27.2,325,112,46,32,14,9,4,1,0,2,0,0,0,0,0,0,545,-3.1837763999999997,55.9446084,135.0,8.0,13:04:48.615000,72,2
70,313,1512479096329,1.7737294,2.9738476,9.466329,10.1,68.700005,146,52,34,22,10,21,6,6,1,0,0,0,0,1,0,0,299,-3.2005955000000004,55.9421245,130.0,9.0,13:04:56.329000,22,4
72,954,1512738308728,2.3008740000000003,3.3070983999999997,12.635629,18.1,26.0,206,73,46,29,7,8,5,1,1,1,0,1,0,0,1,0,379,-3.1835367999999997,55.9442844,138.0,4.0,13:05:08.728000,23,2
73,314,1512479117735,1.4651527,2.4773989,3.5565772000000004,10.1,68.4,111,48,33,23,9,14,8,2,2,0,0,0,0,0,0,0,250,-3.2007895,55.94233440000001,128.0,4.0,13:05:17.735000,56,1
75,955,1512738329573,3.672286,4.7955445999999995,6.4221797,17.5,25.4,404,105,49,32,11,8,2,1,2,1,0,0,0,0,0,0,615,-3.1835068,55.9439842,139.0,8.0,13:05:29.573000,23,2
76,315,1512479139137,2.0297666000000003,3.506351,5.0282297,10.2,68.200005,157,60,45,39,16,20,13,3,0,1,0,0,0,0,0,0,354,-3.2011122000000003,55.942612600000004,135.0,4.0,13:05:39.137000,56,1
77,802,1512651943161,2.0156548,2.9863293,4.0857496,22.1,44.100002,168,67,51,28,10,6,5,2,0,1,0,0,0,0,0,0,338,-3.1839274,55.945280000000004,137.5,15.857999999999999,13:05:43.161000,53,2
78,956,1512738349679,1.9577855,2.8960445,8.077333,16.7,26.300001,163,57,47,38,13,6,1,2,0,0,0,0,1,0,0,0,328,-3.1834376,55.9436754,139.0,9.0,13:05:49.679000,55,1
79,316,1512479159867,2.2411075,3.5417300000000003,11.654176,10.2,67.8,157,66,52,32,19,10,4,3,2,0,1,0,1,0,0,0,347,-3.2014955,55.9428585,121.0,5.0,13:05:59.867000,2,2
80,803,1512651963900,2.2661395,3.4215524,9.303625,21.9,44.7,179,71,71,33,5,7,5,2,3,0,0,0,1,0,0,0,377,-3.1836064,55.94510329999999,0.0,31.156999999999996,13:06:03.900000,35,4
82,317,1512479180019,1.694691,2.9648392000000006,4.980053400000001,10.3,67.6,135,39,45,24,13,16,11,2,2,1,0,0,0,0,0,0,288,-3.2017902,55.94308960000001,125.0,3.0,13:06:20.019000,39,4
83,804,1512651983369,2.215243,3.3249927,5.317064,21.7,43.7,150,91,69,37,6,9,2,2,1,2,0,0,0,0,0,0,369,-3.1836085,55.94510450000001,134.0,27.0,13:06:23.369000,35,4
